"BankName","Scene","Description","Type","TimeCycle","Vendor"
"广西北部湾银行","大模型智算平台","发布大模型智算平台项目竞争性磋商公告，拟采购大模型智算平台项目，预算金额未公布","招标采购","2025年7月","待确定"
"中国工商银行","智能研发平台","工商银行与阿里云达成战略合作，阿里云凭借人工智能产品“通义灵码”独家中标《软件开发中心智能研发平台》建设项目。此前工行已在智能风险控制系统中部署阿里达摩院开发的“通义千问”大模型。阿里人工智能技术连续中标工行核心业务系统，标志着双方在大模型技术应用领域的战略合作进入深化阶段。","采购","2025年8月","阿里云"
"盛京银行","数智人系统","发布2025年数智人系统采购项目招标公告，具体预算金额未公布","招标采购","2025年4月","待确定"
"贵阳银行","智能客服、合规审查、制度文件检索","正在推进DeepSeek大模型的落地应用，初步计划用于智能客服系统、合规审查、制度文件检索等场景","技术应用","2025年4月推进中","DeepSeek"
"辽宁农村商业银行","智能客服系统","智能客服系统建设项目招标，项目资金来源为自筹资金500万元","招标采购","2025年4月","待确定"
"中国建设银行","金融代码大模型","建设银行北京产品创新实验室专项任务“金融代码大模型”以单一来源方式进行采购，中标人为其金融科技子公司建信金科。另外建信金科作为招采单位，发布了金融市场AI资金交易技术研究与应用项目对话大模型数据标注服务项目，海天瑞声中标。","采购","2025年","建信金科、海天瑞声"
"招商银行广州分行","金融领域AI基础大模型建设","开展金融领域业务场景AI基础大模型研究及应用工作，包括基于金融领域特定业务场景大模型需求研发和AI大模型专用服务器租赁服务","供应商征集/招投标项目","2025年3月启动，框架协议有效期2年","待确定（供应商征集阶段）"
"江苏银行","智能合同质检、自动化估值对账","依托智慧小苏大语言模型服务平台，成功本地化部署微调DeepSeek-VL2多模态模型和轻量DeepSeek-R1推理模型，应用于智能合同质检和自动化估值对账场景","技术部署","2025年2月-5月","DeepSeek"
"交通银行","金融大模型与应用实践","交通银行与华为技术合作的“交心金融大模型与应用实践”项目荣获2025年数字中国峰会创新大赛人工智能赛道二等奖。项目构建了覆盖零售信贷、客户服务、风险控制、办公研发等多个重点场景的智能解决方案，利用行业大模型提升业务流程的自动化和智能化水平。","合作项目","2025年","华为技术"
"交通银行","人工智能专家服务框架","交通银行发布《2025-2028年人工智能专家服务框架》招标公告，分为五个包件：精准营销、风险管理、运营管理、平台及模型等。项目旨在提升交通银行人工智能领域项目实施质效，各包件设立业务AI专家、AI算法工程师、AI训练工程师三个不同层级岗位。","框架采购","2025-2028年","多家供应商（招标中）"
"北京银行","京行研究、京行智库、智能客服、数据分析、报告生成、风险防控","与京东云合作上线银行业首个基于异构计算的DeepSeek满血版，完善京智大脑人工智能平台，在多个关键业务场景构建AI+金融新范式","技术合作","2025年2月","京东云、DeepSeek"
"中国农业发展银行","农发智贷平台风控咨询","对农发智贷风控体系进行全面梳理评估和持续优化建设，细分领域进行定制化模型搭建，进行全流程风险监测体系的搭建。持续跟进掌握新型风控技术手段并进行高效的数据生态建设，全面提升风险防控精准度与业务适应性，助力粮棉油信贷业务发展。","公开招标","2025年11月招标，招标控制价322万元","中国远东国际招标有限公司（招标代理）"
"浦发银行总行","基于大模型的知识工程建设","采购知识工程平台产品，与模型服务与管理平台、统一身份认证与管理系统、大模型创设平台及向量化数据库等集成，提供面向浦发银行的大模型体系化应用能力，支撑大模型应用场景建设","邀请招标项目","2024年9月启动供应商征集，2025年2月发布中标结果","星环信息科技(上海)股份有限公司"
"恒丰银行","大模型应用服务平台建设","购置4台GPU专用服务器（GPU芯片为昇腾），提供GPU服务器安装测试及模型调优等集成服务，支持大模型应用服务平台建设。","公开招标","2025年4月招标，预算760万元","未明确（招标中）"
"中国邮政储蓄银行","大模型智能研发测试辅助系统","邮储银行大模型智能研发测试辅助系统关联的三个子项目，分别由华为、阿里云和智谱华章中标。此外还有智能语音辅助客服、智能抽取写作平台两个项目。","采购","2025年","华为、阿里云、智谱华章"
"成都银行","大模型分析系统建设","开发大模型分析系统，涵盖大模型底座、大模型管理平台、智能体构建平台和通用场景的统一建设。","竞争性磋商","2025年2月招标，预算300万元","未明确（招标中）"
"兴业银行","新一代国际业务建设二期项目AI赋能配套改造","为实现国际单证业务智能化处理，引进AI大模型、OCR、NLP语义识别/语义理解等技术，实现凭证智能分类、凭证要素智能采集、国际业务来报智能处理、风险知识库构建及条款智能审核等功能","供应商征集项目","2025年1月启动","待确定（供应商征集阶段）"
"苏商银行","智能信贷、智能研发、智能风控","应用DeepSeek-VL2多模态模型处理非标信贷材料，识别准确率提升至97%以上；集成DeepSeek-R1推理模型到开发助手，核心系统迭代周期缩短30%；应用蒸馏技术于信贷风控、反欺诈等20余个场景","技术应用","2025年2月","DeepSeek"
"中国邮政储蓄银行","语音智能化系统大模型","新晨科技携手华为成功中标邮储银行语音智能化系统大模型辅助客户服务软件开发与集成服务采购项目。该项目已顺利实施并投入使用，通过为客户提供更加精准、高效、个性化的创新性服务，推动银行客户服务的智能化升级。","采购","2025年","新晨科技、华为"
"上海银行","网点业务助手","建设大模型知识问答项目之网点业务助手，面向网点基层员工，融会贯通跨境支付、远程授权等多种专业和上千万字篇幅的金融业务知识，面对各类复杂业务场景，智能化生成便于员工理解的操作流程和术语解释，提升网点员工业务处理效率与服务质量。","竞争性磋商","2024年12月招标，2025年实施，最高投标限价30万元","未明确（招标中）"
"太仓农村商业银行","大模型算力服务","采购大模型算力服务，支持银行大模型应用需求。","公开招标","2025年4月招标，中标金额153万元","中国移动通信集团江苏有限公司苏州分公司"
"中国邮政储蓄银行","信用卡智能客服系统","邮储银行信用卡智能客服系统2025年新增功能工程信用卡智能客服系统应用软件技术开发与集成采购项目，新晨科技股份有限公司中标。采购内容为应用开发(信用卡智能客服)，采用单一来源采购方式。","单一来源采购","2025年","新晨科技"
"民生银行","大模型及智能体安全评测服务采购","采购大模型及智能体安全评测服务，确保大模型和智能体应用的安全性和合规性","采购项目评审","2025年12月发布评审结果","杭州网易智企科技有限公司"
"重庆银行","智能客服知识库、多轮对话","成功完成DeepSeek-R1模型的本地化部署及验证性测试，对智能客服知识库进行深度解析，实现精准语义理解、逻辑推理和多轮对话能力，应用于27个业务场景，日均处理业务量突破11万份","技术部署","2025年2月","DeepSeek"
"广西北部湾银行","大模型应用平台建设","建设大模型应用平台，支持银行各类大模型应用场景。","国内公开招标","2025年10月招标","未明确（招标中）"
"中信银行","财富管理大模型建设","财富管理大模型建设及应用实施服务采购，支持财富管理业务的大模型应用。","公开招标","2025年5月招标","阿里云计算有限公司"
"重庆农商行","智能知识检索、编码辅助、智能风控、智能客服","成功实现DeepSeek R1模型私有化部署，与腾讯云合作上线AI小渝智能助手应用，成为全国首家接入腾讯云DeepSeek大模型的金融机构","技术合作","2025年2月","腾讯云、DeepSeek"
"交通银行陕西分行","财务人工智能大模型训练平台","交通银行陕西分行作为招采人资助了西安石油大学财务人工智能大模型训练平台项目，中标人为陕西数盾慧安数据科技有限公司。","资助项目","2025年","陕西数盾慧安数据科技有限公司"
